CID,#PrimaryAssays,AssayPromiscuity_Primary,APP %,TargetPromiscuity_Primary,TPP %,#ConfirmatoryAssays,AssayPromiscuity_Confirmatory,APC %,TargetPromiscuity_Confirmatory,TPC %,PhenolCount,[ PercentRanks (PR's) follow ]  ------>,PR APP,PR TPP,PR APC,PR TPC
7720,239,1,0.40%,1,0.40%,151,0,0.00%,0,0.00%,0,,40.7%,48.4%,0.0%,0.0%
7745,270,0,0.00%,0,0.00%,158,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
7820,244,1,0.40%,1,0.40%,155,1,0.60%,1,0.60%,0,,40.7%,48.4%,49.2%,49.2%
7833,270,0,0.00%,0,0.00%,162,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
7918,270,1,0.40%,1,0.40%,153,0,0.00%,0,0.00%,0,,40.7%,48.4%,0.0%,0.0%
7922,269,1,0.40%,1,0.40%,156,0,0.00%,0,0.00%,0,,40.7%,48.4%,0.0%,0.0%
7966,270,1,0.40%,0,0.00%,163,0,0.00%,0,0.00%,0,,40.7%,0.0%,0.0%,0.0%
7967,270,1,0.40%,1,0.40%,163,0,0.00%,0,0.00%,0,,40.7%,48.4%,0.0%,0.0%
7991,222,0,0.00%,0,0.00%,87,1,1.10%,1,1.10%,0,,0.0%,0.0%,57.9%,58.9%
8031,270,0,0.00%,0,0.00%,155,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
8035,270,1,0.40%,1,0.40%,159,1,0.60%,1,0.60%,0,,40.7%,48.4%,49.2%,49.2%
8064,268,0,0.00%,0,0.00%,163,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
8094,241,1,0.40%,0,0.00%,153,0,0.00%,0,0.00%,0,,40.7%,0.0%,0.0%,0.0%
8103,271,0,0.00%,0,0.00%,158,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
8117,283,0,0.00%,0,0.00%,159,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
8133,196,0,0.00%,0,0.00%,145,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
8158,222,2,0.90%,1,0.50%,104,0,0.00%,0,0.00%,0,,61.3%,56.4%,0.0%,0.0%
8210,269,0,0.00%,0,0.00%,155,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
8314,284,1,0.40%,1,0.40%,161,0,0.00%,0,0.00%,0,,40.7%,48.4%,0.0%,0.0%
8333,307,0,0.00%,0,0.00%,56,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
8343,292,1,0.30%,1,0.30%,149,2,1.30%,2,1.30%,0,,34.4%,40.9%,60.6%,61.8%
8357,188,1,0.50%,1,0.50%,54,0,0.00%,0,0.00%,0,,47.3%,56.4%,0.0%,0.0%
8369,473,2,0.40%,1,0.20%,190,4,2.10%,4,2.10%,0,,40.7%,32.4%,70.1%,72.2%
8373,269,0,0.00%,0,0.00%,149,1,0.70%,1,0.70%,0,,0.0%,0.0%,49.6%,49.7%
8395,340,0,0.00%,0,0.00%,117,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
8400,280,1,0.40%,1,0.40%,169,1,0.60%,1,0.60%,0,,40.7%,48.4%,49.2%,49.2%
8433,219,4,1.80%,3,1.40%,111,9,8.10%,8,7.20%,0,,77.7%,81.7%,89.5%,90.3%
8496,332,2,0.60%,1,0.30%,142,0,0.00%,0,0.00%,0,,52.6%,40.9%,0.0%,0.0%
8559,271,0,0.00%,0,0.00%,161,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
8560,242,0,0.00%,0,0.00%,154,1,0.60%,1,0.60%,0,,0.0%,0.0%,49.2%,49.2%
8616,443,2,0.50%,2,0.50%,126,0,0.00%,0,0.00%,0,,47.3%,56.4%,0.0%,0.0%
8697,241,0,0.00%,0,0.00%,154,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
8742,209,2,1.00%,2,1.00%,89,0,0.00%,0,0.00%,0,,64.2%,74.9%,0.0%,0.0%
8815,291,2,0.70%,2,0.70%,169,4,2.40%,3,1.80%,0,,56.1%,66.9%,71.5%,66.4%
8842,242,0,0.00%,0,0.00%,166,1,0.60%,1,0.60%,0,,0.0%,0.0%,49.2%,49.2%
8955,294,1,0.30%,0,0.00%,106,5,4.70%,4,3.80%,0,,34.4%,0.0%,82.6%,81.2%
8956,478,5,1.00%,4,0.80%,106,2,1.90%,2,1.90%,0,,64.2%,70.1%,66.4%,68.0%
9016,243,0,0.00%,0,0.00%,154,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
9046,438,18,4.10%,4,0.90%,118,11,9.30%,9,7.60%,0,,90.9%,72.2%,91.2%,90.9%
9050,342,0,0.00%,0,0.00%,87,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
9051,319,1,0.30%,0,0.00%,97,6,6.20%,4,4.10%,0,,34.4%,0.0%,86.2%,82.8%
9128,274,4,1.50%,2,0.70%,158,7,4.40%,6,3.80%,0,,73.6%,66.9%,81.8%,81.2%
9153,85,2,2.40%,2,2.40%,70,10,14.30%,7,10.00%,0,,82.7%,90.8%,95.2%,94.0%
9154,293,1,0.30%,1,0.30%,154,4,2.60%,3,1.90%,0,,34.4%,40.9%,72.9%,68.0%
9223,245,1,0.40%,1,0.40%,143,6,4.20%,6,4.20%,0,,40.7%,48.4%,80.7%,83.2%
9903,296,7,2.40%,3,1.00%,138,11,8.00%,10,7.20%,0,,82.7%,74.9%,89.3%,90.3%
9904,249,0,0.00%,0,0.00%,109,7,6.40%,5,4.60%,0,,0.0%,0.0%,86.6%,84.5%
10114,471,1,0.20%,1,0.20%,136,6,4.40%,5,3.70%,0,,27.4%,32.4%,81.8%,80.7%
10131,197,1,0.50%,1,0.50%,55,0,0.00%,0,0.00%,0,,47.3%,56.4%,0.0%,0.0%
10133,291,1,0.30%,1,0.30%,98,3,3.10%,3,3.10%,0,,34.4%,40.9%,75.7%,78.2%
10211,449,3,0.70%,3,0.70%,109,0,0.00%,0,0.00%,0,,56.1%,66.9%,0.0%,0.0%
10212,449,5,1.10%,4,0.90%,186,3,1.60%,3,1.60%,0,,66.2%,72.2%,63.2%,64.6%
10228,451,7,1.60%,3,0.70%,127,1,0.80%,1,0.80%,0,,75.5%,66.9%,49.7%,49.9%
10236,85,5,5.90%,5,5.90%,86,10,11.60%,10,11.60%,0,,94.5%,97.0%,93.4%,95.2%
10251,209,0,0.00%,0,0.00%,91,1,1.10%,1,1.10%,0,,0.0%,0.0%,57.9%,58.9%
10453,268,1,0.40%,1,0.40%,164,3,1.80%,3,1.80%,0,,40.7%,48.4%,64.9%,66.4%
10494,330,2,0.60%,2,0.60%,101,1,1.00%,1,1.00%,0,,52.6%,62.4%,55.5%,56.1%
10607,593,47,7.90%,21,3.50%,151,15,9.90%,12,7.90%,0,,96.2%,94.3%,92.0%,91.3%
10631,565,3,0.50%,2,0.40%,136,5,3.70%,4,2.90%,0,,47.3%,48.4%,78.1%,76.8%
10633,92,0,0.00%,0,0.00%,60,5,8.30%,3,5.00%,0,,0.0%,0.0%,90.0%,85.6%
10635,248,5,2.00%,1,0.40%,144,14,9.70%,8,5.60%,0,,79.5%,48.4%,91.7%,87.0%
10667,297,16,5.40%,14,4.70%,65,15,23.10%,12,18.50%,0,,93.8%,95.8%,98.3%,98.2%
10680,296,3,1.00%,3,1.00%,143,10,7.00%,9,6.30%,0,,64.2%,74.9%,87.8%,88.6%
10722,270,0,0.00%,0,0.00%,158,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
10745,305,0,0.00%,0,0.00%,121,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
10748,443,4,0.90%,2,0.50%,128,0,0.00%,0,0.00%,0,,61.3%,56.4%,0.0%,0.0%
10752,538,2,0.40%,1,0.20%,119,1,0.80%,1,0.80%,0,,40.7%,32.4%,49.7%,49.9%
10850,272,0,0.00%,0,0.00%,167,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
11005,271,1,0.40%,1,0.40%,150,1,0.70%,1,0.70%,0,,40.7%,48.4%,49.6%,49.7%
11100,346,5,1.40%,4,1.20%,83,2,2.40%,2,2.40%,0,,72.0%,78.8%,71.5%,73.9%
11104,206,0,0.00%,0,0.00%,96,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
11164,268,0,0.00%,0,0.00%,162,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
11273,468,1,0.20%,1,0.20%,165,7,4.20%,5,3.00%,0,,27.4%,32.4%,80.7%,77.7%
11276,294,5,1.70%,1,0.30%,75,0,0.00%,0,0.00%,0,,76.6%,40.9%,0.0%,0.0%
11328,184,0,0.00%,0,0.00%,138,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
11349,197,6,3.00%,4,2.00%,84,5,6.00%,4,4.80%,0,,86.3%,87.6%,85.7%,85.0%
11683,576,5,0.90%,3,0.50%,137,11,8.00%,9,6.60%,0,,61.3%,56.4%,89.3%,89.2%
11684,270,0,0.00%,0,0.00%,157,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
12086,384,0,0.00%,0,0.00%,110,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
12088,270,0,0.00%,0,0.00%,158,1,0.60%,1,0.60%,0,,0.0%,0.0%,49.2%,49.2%
12262,269,0,0.00%,0,0.00%,161,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
12329,270,1,0.40%,1,0.40%,163,0,0.00%,0,0.00%,0,,40.7%,48.4%,0.0%,0.0%
13109,466,2,0.40%,1,0.20%,145,7,4.80%,5,3.40%,0,,40.7%,32.4%,82.9%,79.4%
13165,197,0,0.00%,0,0.00%,132,2,1.50%,2,1.50%,0,,0.0%,0.0%,62.5%,63.9%
13321,198,1,0.50%,1,0.50%,53,0,0.00%,0,0.00%,0,,47.3%,56.4%,0.0%,0.0%
13472,188,2,1.10%,1,0.50%,52,0,0.00%,0,0.00%,0,,66.2%,56.4%,0.0%,0.0%
13594,270,0,0.00%,0,0.00%,158,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
13789,320,4,1.30%,3,0.90%,111,6,5.40%,4,3.60%,0,,70.6%,72.2%,84.5%,80.3%
14112,206,0,0.00%,0,0.00%,69,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
14242,241,1,0.40%,1,0.40%,153,0,0.00%,0,0.00%,0,,40.7%,48.4%,0.0%,0.0%
14589,204,0,0.00%,0,0.00%,83,3,3.60%,2,2.40%,0,,0.0%,0.0%,77.6%,73.9%
14709,259,4,1.50%,1,0.40%,93,4,4.30%,3,3.20%,0,,73.6%,48.4%,81.2%,78.6%
15284,329,20,6.10%,13,4.00%,86,11,12.80%,9,10.50%,0,,94.7%,94.9%,94.3%,94.4%
15478,327,41,12.50%,22,6.70%,78,7,9.00%,5,6.40%,0,,98.1%,97.7%,90.9%,88.9%
15644,191,1,0.50%,1,0.50%,54,0,0.00%,0,0.00%,0,,47.3%,56.4%,0.0%,0.0%
15718,539,0,0.00%,0,0.00%,125,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
15781,426,0,0.00%,0,0.00%,111,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
15799,346,4,1.20%,4,1.20%,82,0,0.00%,0,0.00%,0,,68.9%,78.8%,0.0%,0.0%
15818,487,6,1.20%,2,0.40%,108,0,0.00%,0,0.00%,0,,68.9%,48.4%,0.0%,0.0%
15882,541,0,0.00%,0,0.00%,127,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
16317,200,18,9.00%,15,7.50%,49,10,20.40%,8,16.30%,0,,96.7%,98.1%,97.8%,97.6%
16484,453,4,0.90%,3,0.70%,97,0,0.00%,0,0.00%,0,,61.3%,66.9%,0.0%,0.0%
16623,555,4,0.70%,4,0.70%,117,2,1.70%,1,0.90%,0,,56.1%,66.9%,64.1%,52.1%
16666,141,1,0.70%,0,0.00%,59,0,0.00%,0,0.00%,0,,56.1%,0.0%,0.0%,0.0%
16679,276,1,0.40%,1,0.40%,75,1,1.30%,1,1.30%,0,,40.7%,48.4%,60.6%,61.8%
16724,271,0,0.00%,0,0.00%,170,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
16871,195,13,6.70%,12,6.20%,60,11,18.30%,10,16.70%,0,,95.4%,97.1%,97.1%,97.7%
16932,270,0,0.00%,0,0.00%,151,4,2.60%,4,2.60%,0,,0.0%,0.0%,72.9%,75.2%
17231,271,4,1.50%,3,1.10%,138,6,4.30%,5,3.60%,0,,73.6%,76.9%,81.2%,80.3%
17355,284,0,0.00%,0,0.00%,161,1,0.60%,1,0.60%,0,,0.0%,0.0%,49.2%,49.2%
17471,460,5,1.10%,3,0.70%,108,1,0.90%,1,0.90%,0,,66.2%,66.9%,51.8%,52.1%
17536,444,0,0.00%,0,0.00%,112,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
17848,472,0,0.00%,0,0.00%,94,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
18311,194,4,2.10%,2,1.00%,53,3,5.70%,1,1.90%,0,,80.4%,74.9%,85.1%,68.0%
18950,327,0,0.00%,0,0.00%,87,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
19188,279,0,0.00%,0,0.00%,169,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
19273,196,0,0.00%,0,0.00%,55,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
19871,269,0,0.00%,0,0.00%,159,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
19920,269,0,0.00%,0,0.00%,158,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
20477,337,0,0.00%,0,0.00%,91,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
20502,198,8,4.00%,6,3.00%,49,9,18.40%,6,12.20%,0,,90.6%,93.0%,97.1%,95.5%
20525,261,0,0.00%,0,0.00%,142,1,0.70%,1,0.70%,0,,0.0%,0.0%,49.6%,49.7%
20984,344,0,0.00%,0,0.00%,87,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
21533,196,0,0.00%,0,0.00%,53,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
21672,311,4,1.30%,3,1.00%,48,3,6.30%,3,6.30%,0,,70.6%,74.9%,86.4%,88.6%
23205,387,64,16.50%,29,7.50%,111,30,27.00%,21,18.90%,0,,99.0%,98.1%,99.0%,98.4%
24056,274,2,0.70%,2,0.70%,51,0,0.00%,0,0.00%,0,,56.1%,66.9%,0.0%,0.0%
24314,270,0,0.00%,0,0.00%,154,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
24371,196,0,0.00%,0,0.00%,52,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
24733,313,5,1.60%,2,0.60%,95,0,0.00%,0,0.00%,0,,75.5%,62.4%,0.0%,0.0%
26133,469,1,0.20%,1,0.20%,137,6,4.40%,4,2.90%,0,,27.4%,32.4%,81.8%,76.8%
26248,549,19,3.50%,9,1.60%,152,6,3.90%,6,3.90%,0,,88.6%,84.0%,79.4%,82.0%
26305,340,7,2.10%,3,0.90%,79,1,1.30%,1,1.30%,0,,80.4%,72.2%,60.6%,61.8%
27692,191,2,1.00%,2,1.00%,51,2,3.90%,2,3.90%,0,,64.2%,74.9%,79.4%,82.0%
28803,271,4,1.50%,3,1.10%,122,21,17.20%,14,11.50%,0,,73.6%,76.9%,96.8%,95.1%
29511,384,1,0.30%,0,0.00%,99,0,0.00%,0,0.00%,0,,34.4%,0.0%,0.0%,0.0%
30553,472,0,0.00%,0,0.00%,104,1,1.00%,1,1.00%,0,,0.0%,0.0%,55.5%,56.1%
31217,270,0,0.00%,0,0.00%,152,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
31236,295,1,0.30%,1,0.30%,171,1,0.60%,1,0.60%,0,,34.4%,40.9%,49.2%,49.2%
31244,222,0,0.00%,0,0.00%,156,1,0.60%,1,0.60%,0,,0.0%,0.0%,49.2%,49.2%
31276,243,2,0.80%,2,0.80%,154,0,0.00%,0,0.00%,0,,59.3%,70.1%,0.0%,0.0%
31401,443,1,0.20%,1,0.20%,108,1,0.90%,1,0.90%,0,,27.4%,32.4%,51.8%,52.1%
31736,502,3,0.60%,3,0.60%,148,0,0.00%,0,0.00%,0,,52.6%,62.4%,0.0%,0.0%
32252,186,0,0.00%,0,0.00%,54,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
36547,197,1,0.50%,1,0.50%,56,0,0.00%,0,0.00%,0,,47.3%,56.4%,0.0%,0.0%
37439,292,1,0.30%,1,0.30%,109,0,0.00%,0,0.00%,0,,34.4%,40.9%,0.0%,0.0%
37839,465,63,13.50%,35,7.50%,114,28,24.60%,23,20.20%,0,,98.4%,98.1%,98.6%,98.6%
38280,515,1,0.20%,1,0.20%,107,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
39302,352,3,0.90%,2,0.60%,82,1,1.20%,1,1.20%,0,,61.3%,62.4%,59.1%,60.1%
39378,437,0,0.00%,0,0.00%,110,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
39912,344,0,0.00%,0,0.00%,184,1,0.50%,1,0.50%,0,,0.0%,0.0%,49.1%,49.1%
40956,415,0,0.00%,0,0.00%,108,1,0.90%,1,0.90%,0,,0.0%,0.0%,51.8%,52.1%
47936,349,25,7.20%,11,3.20%,110,15,13.60%,13,11.80%,0,,95.8%,93.6%,94.6%,95.3%
51040,208,1,0.50%,0,0.00%,127,10,7.90%,6,4.70%,0,,47.3%,0.0%,89.2%,84.7%
52167,148,27,18.20%,17,11.50%,48,8,16.70%,7,14.60%,0,,99.3%,99.3%,96.5%,97.0%
52426,185,1,0.50%,0,0.00%,56,0,0.00%,0,0.00%,0,,47.3%,0.0%,0.0%,0.0%
53232,589,16,2.70%,6,1.00%,172,14,8.10%,13,7.60%,0,,84.8%,74.9%,89.5%,90.9%
54454,365,10,2.70%,2,0.50%,110,11,10.00%,11,10.00%,0,,84.8%,56.4%,92.0%,94.0%
55748,129,0,0.00%,0,0.00%,54,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
60198,192,1,0.50%,0,0.00%,70,6,8.60%,5,7.10%,0,,47.3%,0.0%,90.4%,90.0%
60999,267,0,0.00%,0,0.00%,154,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
61094,197,0,0.00%,0,0.00%,53,1,1.90%,1,1.90%,0,,0.0%,0.0%,66.4%,68.0%
61410,267,0,0.00%,0,0.00%,157,1,0.60%,1,0.60%,0,,0.0%,0.0%,49.2%,49.2%
62186,339,6,1.80%,5,1.50%,89,3,3.40%,2,2.20%,0,,77.7%,82.6%,76.9%,72.9%
62362,427,2,0.50%,2,0.50%,125,2,1.60%,2,1.60%,0,,47.3%,56.4%,63.2%,64.6%
62553,270,0,0.00%,0,0.00%,155,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
64715,453,7,1.50%,4,0.90%,145,4,2.80%,4,2.80%,0,,73.6%,72.2%,73.7%,76.1%
64798,517,2,0.40%,2,0.40%,127,0,0.00%,0,0.00%,0,,40.7%,48.4%,0.0%,0.0%
64945,377,6,1.60%,5,1.30%,103,4,3.90%,2,1.90%,0,,75.5%,80.4%,79.4%,68.0%
64971,379,10,2.60%,8,2.10%,103,2,1.90%,1,1.00%,0,,84.0%,88.4%,66.4%,56.1%
65047,362,96,26.50%,62,17.10%,117,8,6.80%,7,6.00%,0,,99.9%,99.9%,87.4%,88.0%
65057,177,12,6.80%,4,2.30%,73,16,21.90%,15,20.50%,0,,95.5%,90.1%,98.1%,98.7%
65188,361,7,1.90%,4,1.10%,114,6,5.30%,5,4.40%,0,,78.8%,76.9%,84.3%,84.0%
66346,516,0,0.00%,0,0.00%,126,1,0.80%,1,0.80%,0,,0.0%,0.0%,49.7%,49.9%
66532,460,24,5.20%,14,3.00%,107,13,12.10%,12,11.20%,0,,93.5%,93.0%,93.8%,95.0%
66548,363,3,0.80%,2,0.60%,96,1,1.00%,1,1.00%,0,,59.3%,62.4%,55.5%,56.1%
66643,538,1,0.20%,1,0.20%,129,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
66734,469,8,1.70%,5,1.10%,108,1,0.90%,1,0.90%,0,,76.6%,76.9%,51.8%,52.1%
67039,197,0,0.00%,0,0.00%,49,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
67456,376,6,1.60%,3,0.80%,99,1,1.00%,1,1.00%,0,,75.5%,70.1%,55.5%,56.1%
68077,207,1,0.50%,0,0.00%,91,5,5.50%,4,4.40%,0,,47.3%,0.0%,84.7%,84.0%
68079,366,0,0.00%,0,0.00%,124,1,0.80%,1,0.80%,0,,0.0%,0.0%,49.7%,49.9%
68081,456,5,1.10%,3,0.70%,112,0,0.00%,0,0.00%,0,,66.2%,66.9%,0.0%,0.0%
68082,459,1,0.20%,1,0.20%,127,1,0.80%,1,0.80%,0,,27.4%,32.4%,49.7%,49.9%
68262,204,24,11.80%,17,8.30%,78,16,20.50%,12,15.40%,0,,97.9%,98.5%,97.8%,97.3%
68437,428,0,0.00%,0,0.00%,108,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
68827,332,2,0.60%,2,0.60%,85,3,3.50%,2,2.40%,0,,52.6%,62.4%,77.2%,73.9%
68872,560,6,1.10%,3,0.50%,136,4,2.90%,3,2.20%,0,,66.2%,56.4%,74.5%,72.9%
69086,209,1,0.50%,1,0.50%,52,0,0.00%,0,0.00%,0,,47.3%,56.4%,0.0%,0.0%
69146,433,2,0.50%,2,0.50%,109,0,0.00%,0,0.00%,0,,47.3%,56.4%,0.0%,0.0%
69148,438,2,0.50%,1,0.20%,106,0,0.00%,0,0.00%,0,,47.3%,32.4%,0.0%,0.0%
69175,461,2,0.40%,2,0.40%,111,0,0.00%,0,0.00%,0,,40.7%,48.4%,0.0%,0.0%
69301,158,0,0.00%,0,0.00%,87,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
69503,190,0,0.00%,0,0.00%,53,1,1.90%,1,1.90%,0,,0.0%,0.0%,66.4%,68.0%
69516,196,2,1.00%,2,1.00%,50,0,0.00%,0,0.00%,0,,64.2%,74.9%,0.0%,0.0%
69774,424,8,1.90%,5,1.20%,96,1,1.00%,1,1.00%,0,,78.8%,78.8%,55.5%,56.1%
69916,436,2,0.50%,1,0.20%,109,0,0.00%,0,0.00%,0,,47.3%,32.4%,0.0%,0.0%
70161,474,1,0.20%,1,0.20%,109,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
70380,197,0,0.00%,0,0.00%,52,1,1.90%,1,1.90%,0,,0.0%,0.0%,66.4%,68.0%
70385,436,5,1.10%,4,0.90%,102,1,1.00%,1,1.00%,0,,66.2%,72.2%,55.5%,56.1%
70393,233,0,0.00%,0,0.00%,75,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
70834,381,2,0.50%,1,0.30%,100,0,0.00%,0,0.00%,0,,47.3%,40.9%,0.0%,0.0%
70875,399,1,0.30%,1,0.30%,108,2,1.90%,2,1.90%,0,,34.4%,40.9%,66.4%,68.0%
71034,391,16,4.10%,7,1.80%,107,2,1.90%,1,0.90%,0,,90.9%,86.1%,66.4%,52.1%
72307,361,1,0.30%,0,0.00%,102,1,1.00%,1,1.00%,0,,34.4%,0.0%,55.5%,56.1%
72344,470,6,1.30%,4,0.90%,124,3,2.40%,2,1.60%,0,,70.6%,72.2%,71.5%,64.6%
72414,451,2,0.40%,2,0.40%,109,1,0.90%,1,0.90%,0,,40.7%,48.4%,51.8%,52.1%
72794,195,0,0.00%,0,0.00%,55,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
72971,507,1,0.20%,1,0.20%,127,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
72972,380,1,0.30%,1,0.30%,111,2,1.80%,2,1.80%,0,,34.4%,40.9%,64.9%,66.4%
73191,442,4,0.90%,1,0.20%,111,2,1.80%,2,1.80%,0,,61.3%,32.4%,64.9%,66.4%
73253,451,0,0.00%,0,0.00%,112,1,0.90%,1,0.90%,0,,0.0%,0.0%,51.8%,52.1%
73411,367,0,0.00%,0,0.00%,101,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
73467,281,0,0.00%,0,0.00%,74,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
73581,448,1,0.20%,1,0.20%,127,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
73952,195,1,0.50%,1,0.50%,48,0,0.00%,0,0.00%,0,,47.3%,56.4%,0.0%,0.0%
74083,374,3,0.80%,1,0.30%,106,1,0.90%,1,0.90%,0,,59.3%,40.9%,51.8%,52.1%
74469,505,3,0.60%,1,0.20%,127,0,0.00%,0,0.00%,0,,52.6%,32.4%,0.0%,0.0%
74477,242,3,1.20%,2,0.80%,65,0,0.00%,0,0.00%,0,,68.9%,70.1%,0.0%,0.0%
74969,437,1,0.20%,1,0.20%,113,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
75019,377,0,0.00%,0,0.00%,111,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
75229,479,1,0.20%,1,0.20%,107,1,0.90%,1,0.90%,0,,27.4%,32.4%,51.8%,52.1%
75969,270,0,0.00%,0,0.00%,152,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
76313,481,1,0.20%,0,0.00%,105,0,0.00%,0,0.00%,0,,27.4%,0.0%,0.0%,0.0%
76443,543,2,0.40%,1,0.20%,125,0,0.00%,0,0.00%,0,,40.7%,32.4%,0.0%,0.0%
76613,544,0,0.00%,0,0.00%,127,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
76622,440,2,0.50%,2,0.50%,112,0,0.00%,0,0.00%,0,,47.3%,56.4%,0.0%,0.0%
76903,199,2,1.00%,2,1.00%,56,0,0.00%,0,0.00%,0,,64.2%,74.9%,0.0%,0.0%
76915,395,31,7.80%,23,5.80%,97,19,19.60%,17,17.50%,0,,96.1%,96.9%,97.5%,97.9%
76918,472,0,0.00%,0,0.00%,115,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
76977,354,7,2.00%,3,0.80%,81,1,1.20%,1,1.20%,0,,79.5%,70.1%,59.1%,60.1%
77069,490,1,0.20%,1,0.20%,126,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
77309,331,7,2.10%,3,0.90%,80,2,2.50%,2,2.50%,0,,80.4%,72.2%,72.3%,74.7%
77388,225,4,1.80%,1,0.40%,70,0,0.00%,0,0.00%,0,,77.7%,48.4%,0.0%,0.0%
77409,340,5,1.50%,3,0.90%,85,0,0.00%,0,0.00%,0,,73.6%,72.2%,0.0%,0.0%
77553,301,0,0.00%,0,0.00%,115,1,0.90%,1,0.90%,0,,0.0%,0.0%,51.8%,52.1%
77793,377,17,4.50%,9,2.40%,117,8,6.80%,7,6.00%,0,,91.9%,90.8%,87.4%,88.0%
77875,477,1,0.20%,1,0.20%,111,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
