CID,#PrimaryAssays,AssayPromiscuity_Primary,APP %,TargetPromiscuity_Primary,TPP %,#ConfirmatoryAssays,AssayPromiscuity_Confirmatory,APC %,TargetPromiscuity_Confirmatory,TPC %,PhenolCount,[ PercentRanks (PR's) follow ]  ------>,PR APP,PR TPP,PR APC,PR TPC
6540219,232,3,1.30%,3,1.30%,83,0,0.00%,0,0.00%,0,,70.6%,80.4%,0.0%,0.0%
6540223,230,1,0.40%,1,0.40%,79,1,1.30%,1,1.30%,0,,40.7%,48.4%,60.6%,61.8%
6540228,175,11,6.30%,7,4.00%,74,6,8.10%,5,6.80%,0,,95.0%,94.9%,89.5%,89.5%
6540232,227,0,0.00%,0,0.00%,55,1,1.80%,1,1.80%,0,,0.0%,0.0%,64.9%,66.4%
6540237,176,0,0.00%,0,0.00%,82,1,1.20%,1,1.20%,0,,0.0%,0.0%,59.1%,60.1%
6540241,225,6,2.70%,3,1.30%,62,5,8.10%,3,4.80%,0,,84.8%,80.4%,89.5%,85.0%
6543478,211,7,3.30%,6,2.80%,65,6,9.20%,3,4.60%,0,,87.8%,92.3%,91.1%,84.5%
6544759,280,2,0.70%,2,0.70%,74,1,1.40%,1,1.40%,0,,56.1%,66.9%,61.6%,62.9%
6576809,337,0,0.00%,0,0.00%,88,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6604218,341,0,0.00%,0,0.00%,128,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6612856,260,1,0.40%,1,0.40%,64,0,0.00%,0,0.00%,0,,40.7%,48.4%,0.0%,0.0%
6618783,465,3,0.60%,3,0.60%,111,1,0.90%,1,0.90%,0,,52.6%,62.4%,51.8%,52.1%
6618787,342,1,0.30%,0,0.00%,85,0,0.00%,0,0.00%,0,,34.4%,0.0%,0.0%,0.0%
6618951,475,7,1.50%,3,0.60%,108,1,0.90%,1,0.90%,0,,73.6%,62.4%,51.8%,52.1%
6636173,383,7,1.80%,4,1.00%,114,9,7.90%,8,7.00%,0,,77.7%,74.9%,89.2%,89.8%
6667089,310,0,0.00%,0,0.00%,57,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6667152,436,2,0.50%,1,0.20%,99,2,2.00%,2,2.00%,0,,47.3%,32.4%,68.5%,70.5%
6667364,434,0,0.00%,0,0.00%,101,1,1.00%,1,1.00%,0,,0.0%,0.0%,55.5%,56.1%
6668413,348,1,0.30%,1,0.30%,102,2,2.00%,2,2.00%,0,,34.4%,40.9%,68.5%,70.5%
6668446,431,0,0.00%,0,0.00%,106,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6669037,352,2,0.60%,2,0.60%,99,2,2.00%,2,2.00%,0,,52.6%,62.4%,68.5%,70.5%
6669057,430,0,0.00%,0,0.00%,107,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6669070,362,0,0.00%,0,0.00%,102,1,1.00%,1,1.00%,0,,0.0%,0.0%,55.5%,56.1%
6669121,312,0,0.00%,0,0.00%,56,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6669356,327,1,0.30%,1,0.30%,55,0,0.00%,0,0.00%,0,,34.4%,40.9%,0.0%,0.0%
6669549,310,1,0.30%,1,0.30%,55,0,0.00%,0,0.00%,0,,34.4%,40.9%,0.0%,0.0%
6669599,316,0,0.00%,0,0.00%,55,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6669656,321,0,0.00%,0,0.00%,54,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6669657,432,3,0.70%,3,0.70%,105,0,0.00%,0,0.00%,0,,56.1%,66.9%,0.0%,0.0%
6669849,428,0,0.00%,0,0.00%,103,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6669886,369,0,0.00%,0,0.00%,102,1,1.00%,1,1.00%,0,,0.0%,0.0%,55.5%,56.1%
6669906,333,0,0.00%,0,0.00%,51,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6669976,428,2,0.50%,1,0.20%,101,1,1.00%,1,1.00%,0,,47.3%,32.4%,55.5%,56.1%
6669977,430,0,0.00%,0,0.00%,106,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6670171,313,0,0.00%,0,0.00%,56,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6670221,330,1,0.30%,1,0.30%,52,0,0.00%,0,0.00%,0,,34.4%,40.9%,0.0%,0.0%
6670279,429,0,0.00%,0,0.00%,104,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6670474,431,0,0.00%,0,0.00%,103,1,1.00%,1,1.00%,0,,0.0%,0.0%,55.5%,56.1%
6670475,445,1,0.20%,1,0.20%,103,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
6670525,447,1,0.20%,1,0.20%,107,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
6670570,433,5,1.20%,3,0.70%,100,0,0.00%,0,0.00%,0,,68.9%,66.9%,0.0%,0.0%
6670571,429,0,0.00%,0,0.00%,103,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6671075,430,0,0.00%,0,0.00%,104,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6671188,429,1,0.20%,1,0.20%,105,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
6671387,430,0,0.00%,0,0.00%,97,1,1.00%,1,1.00%,0,,0.0%,0.0%,55.5%,56.1%
6671388,336,1,0.30%,1,0.30%,56,0,0.00%,0,0.00%,0,,34.4%,40.9%,0.0%,0.0%
6671434,443,3,0.70%,2,0.50%,105,0,0.00%,0,0.00%,0,,56.1%,56.4%,0.0%,0.0%
6671506,431,0,0.00%,0,0.00%,104,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6671507,312,0,0.00%,0,0.00%,56,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6708701,320,41,12.80%,18,5.60%,91,15,16.50%,14,15.40%,0,,98.2%,96.7%,96.5%,97.3%
6708810,432,20,4.60%,11,2.50%,107,5,4.70%,5,4.70%,0,,92.2%,91.3%,82.6%,84.7%
6708819,344,3,0.90%,3,0.90%,89,0,0.00%,0,0.00%,0,,61.3%,72.2%,0.0%,0.0%
6708860,471,6,1.30%,4,0.80%,103,2,1.90%,2,1.90%,0,,70.6%,70.1%,66.4%,68.0%
6710652,267,3,1.10%,2,0.70%,70,0,0.00%,0,0.00%,0,,66.2%,66.9%,0.0%,0.0%
6710655,259,2,0.80%,1,0.40%,65,0,0.00%,0,0.00%,0,,59.3%,48.4%,0.0%,0.0%
6710732,199,1,0.50%,1,0.50%,52,1,1.90%,1,1.90%,0,,47.3%,56.4%,66.4%,68.0%
6711209,201,35,17.40%,19,9.50%,51,9,17.60%,7,13.70%,0,,99.3%,98.8%,96.8%,96.5%
6714002,310,1,0.30%,1,0.30%,93,5,5.40%,3,3.20%,0,,34.4%,40.9%,84.5%,78.6%
6852384,423,0,0.00%,0,0.00%,97,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6852390,475,3,0.60%,2,0.40%,107,0,0.00%,0,0.00%,0,,52.6%,48.4%,0.0%,0.0%
6852393,417,6,1.40%,3,0.70%,118,3,2.50%,2,1.70%,0,,72.0%,66.9%,72.3%,65.7%
6852401,490,46,9.40%,26,5.30%,116,12,10.30%,8,6.90%,0,,96.8%,96.4%,92.3%,89.6%
6852408,457,0,0.00%,0,0.00%,112,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
6852411,470,5,1.10%,3,0.60%,105,2,1.90%,2,1.90%,0,,66.2%,62.4%,66.4%,68.0%
6917421,395,11,2.80%,5,1.30%,107,2,1.90%,2,1.90%,0,,85.3%,80.4%,66.4%,68.0%
6918774,391,14,3.60%,9,2.30%,106,3,2.80%,3,2.80%,0,,89.2%,90.1%,73.7%,76.1%
7019243,234,1,0.40%,0,0.00%,72,5,6.90%,4,5.60%,0,,40.7%,0.0%,87.6%,87.0%
7027628,340,10,2.90%,5,1.50%,87,2,2.30%,2,2.30%,0,,85.7%,82.6%,71.0%,73.4%
7060916,320,0,0.00%,0,0.00%,88,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
7088528,309,4,1.30%,2,0.60%,83,0,0.00%,0,0.00%,0,,70.6%,62.4%,0.0%,0.0%
7088554,344,0,0.00%,0,0.00%,86,1,1.20%,1,1.20%,0,,0.0%,0.0%,59.1%,60.1%
7091164,343,0,0.00%,0,0.00%,87,2,2.30%,2,2.30%,0,,0.0%,0.0%,71.0%,73.4%
7091322,342,0,0.00%,0,0.00%,87,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
7091341,310,3,1.00%,1,0.30%,88,0,0.00%,0,0.00%,0,,64.2%,40.9%,0.0%,0.0%
7092535,307,0,0.00%,0,0.00%,88,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
7093249,426,2,0.50%,2,0.50%,111,1,0.90%,1,0.90%,0,,47.3%,56.4%,51.8%,52.1%
7098683,196,0,0.00%,0,0.00%,51,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
7103151,302,0,0.00%,0,0.00%,56,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
7130848,336,5,1.50%,5,1.50%,89,0,0.00%,0,0.00%,0,,73.6%,82.6%,0.0%,0.0%
7198312,430,5,1.20%,3,0.70%,102,3,2.90%,3,2.90%,0,,68.9%,66.9%,74.5%,76.8%
7198315,281,5,1.80%,3,1.10%,47,3,6.40%,3,6.40%,0,,77.7%,76.9%,86.6%,88.9%
7221250,427,1,0.20%,0,0.00%,115,1,0.90%,1,0.90%,0,,27.4%,0.0%,51.8%,52.1%
7221251,442,1,0.20%,1,0.20%,113,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
7251185,283,12,4.20%,6,2.10%,72,11,15.30%,9,12.50%,0,,91.2%,88.4%,95.9%,95.8%
7285157,421,8,1.90%,8,1.90%,95,9,9.50%,9,9.50%,0,,78.8%,86.9%,91.5%,93.5%
7295549,342,3,0.90%,3,0.90%,88,1,1.10%,1,1.10%,0,,61.3%,72.2%,57.9%,58.9%
7295550,342,0,0.00%,0,0.00%,88,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
7295562,343,3,0.90%,2,0.60%,82,0,0.00%,0,0.00%,0,,61.3%,62.4%,0.0%,0.0%
7295563,346,11,3.20%,9,2.60%,92,3,3.30%,3,3.30%,0,,87.1%,91.8%,76.5%,79.0%
7295590,344,3,0.90%,3,0.90%,82,0,0.00%,0,0.00%,0,,61.3%,72.2%,0.0%,0.0%
7295591,341,3,0.90%,2,0.60%,80,0,0.00%,0,0.00%,0,,61.3%,62.4%,0.0%,0.0%
7295592,341,4,1.20%,3,0.90%,85,3,3.50%,1,1.20%,0,,68.9%,72.2%,77.2%,60.1%
7295594,346,2,0.60%,2,0.60%,86,3,3.50%,3,3.50%,0,,52.6%,62.4%,77.2%,79.9%
7309334,200,0,0.00%,0,0.00%,53,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
7314247,434,2,0.50%,1,0.20%,106,0,0.00%,0,0.00%,0,,47.3%,32.4%,0.0%,0.0%
7314606,466,31,6.70%,21,4.50%,106,20,18.90%,19,17.90%,0,,95.4%,95.5%,97.3%,98.1%
7314608,443,43,9.70%,26,5.90%,115,24,20.90%,22,19.10%,0,,96.9%,97.0%,97.9%,98.4%
7503572,341,0,0.00%,0,0.00%,91,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
7653921,275,5,1.80%,3,1.10%,75,1,1.30%,1,1.30%,0,,77.7%,76.9%,60.6%,61.8%
7655129,434,0,0.00%,0,0.00%,111,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
7851232,336,2,0.60%,2,0.60%,85,0,0.00%,0,0.00%,0,,52.6%,62.4%,0.0%,0.0%
7852898,346,10,2.90%,4,1.20%,88,1,1.10%,1,1.10%,0,,85.7%,78.8%,57.9%,58.9%
7947636,232,2,0.90%,1,0.40%,64,3,4.70%,3,4.70%,0,,61.3%,48.4%,82.6%,84.7%
8015713,340,3,0.90%,2,0.60%,85,0,0.00%,0,0.00%,0,,61.3%,62.4%,0.0%,0.0%
8016181,341,8,2.30%,4,1.20%,83,1,1.20%,1,1.20%,0,,81.7%,78.8%,59.1%,60.1%
8016506,340,2,0.60%,2,0.60%,83,0,0.00%,0,0.00%,0,,52.6%,62.4%,0.0%,0.0%
8031354,340,3,0.90%,2,0.60%,85,0,0.00%,0,0.00%,0,,61.3%,62.4%,0.0%,0.0%
8108341,339,7,2.10%,4,1.20%,69,8,11.60%,7,10.10%,0,,80.4%,78.8%,93.4%,94.1%
8194733,331,0,0.00%,0,0.00%,89,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
8538198,323,1,0.30%,0,0.00%,57,0,0.00%,0,0.00%,0,,34.4%,0.0%,0.0%,0.0%
8707776,313,0,0.00%,0,0.00%,75,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
8831889,352,18,5.10%,11,3.10%,72,6,8.30%,5,6.90%,0,,93.3%,93.3%,90.0%,89.6%
9066957,279,0,0.00%,0,0.00%,73,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
